date,County,fips_code,Yield
1983,ADAMS,38001,13
1984,ADAMS,38001,10
2017,ADAMS,38001,13.8
2019,ADAMS,38001,35.9
1959,BARNES,38003,10
1960,BARNES,38003,10
1961,BARNES,38003,10
1962,BARNES,38003,14
1963,BARNES,38003,16.5
1964,BARNES,38003,11
1965,BARNES,38003,15
1966,BARNES,38003,22
1967,BARNES,38003,12
1968,BARNES,38003,14
1969,BARNES,38003,13.5
1970,BARNES,38003,16
1971,BARNES,38003,11
1972,BARNES,38003,20
1974,BARNES,38003,12.2
1977,BARNES,38003,20
1978,BARNES,38003,24.4
1979,BARNES,38003,25
1980,BARNES,38003,13.6
1981,BARNES,38003,24.5
1982,BARNES,38003,19
1983,BARNES,38003,18.5
1984,BARNES,38003,17
1985,BARNES,38003,20
1986,BARNES,38003,28
1987,BARNES,38003,29
1988,BARNES,38003,13
1989,BARNES,38003,16
1990,BARNES,38003,22
1991,BARNES,38003,24.4
1992,BARNES,38003,22.8
1993,BARNES,38003,15.4
1994,BARNES,38003,34.4
1995,BARNES,38003,30.5
1996,BARNES,38003,28
1997,BARNES,38003,29.1
1998,BARNES,38003,33
1999,BARNES,38003,31.7
2000,BARNES,38003,32.6
2001,BARNES,38003,33.9
2002,BARNES,38003,33.7
2003,BARNES,38003,30.1
2004,BARNES,38003,24.8
2005,BARNES,38003,39.7
2006,BARNES,38003,30.5
2007,BARNES,38003,36
2008,BARNES,38003,28
2009,BARNES,38003,30
2010,BARNES,38003,36.1
2011,BARNES,38003,28.7
2012,BARNES,38003,33.2
2013,BARNES,38003,29.1
2014,BARNES,38003,36.3
2015,BARNES,38003,34.7
2016,BARNES,38003,44.4
2017,BARNES,38003,36
2018,BARNES,38003,36.6
2019,BARNES,38003,31.9
1983,BENSON,38005,13
1984,BENSON,38005,11.8
1988,BENSON,38005,7.5
1989,BENSON,38005,5.3
1990,BENSON,38005,14
1991,BENSON,38005,16.1
1992,BENSON,38005,10
1993,BENSON,38005,9.3
1994,BENSON,38005,17.8
1995,BENSON,38005,15
1996,BENSON,38005,23.4
1997,BENSON,38005,19
1998,BENSON,38005,25.7
1999,BENSON,38005,25.2
2000,BENSON,38005,29.2
2001,BENSON,38005,30.5
2002,BENSON,38005,28
2003,BENSON,38005,26.3
2004,BENSON,38005,15.1
2005,BENSON,38005,31.3
2006,BENSON,38005,23.9
2007,BENSON,38005,32.8
2008,BENSON,38005,26
2009,BENSON,38005,28.5
2010,BENSON,38005,31.2
2011,BENSON,38005,29.5
2012,BENSON,38005,32.2
2013,BENSON,38005,31.2
2014,BENSON,38005,31.4
2015,BENSON,38005,25.5
2016,BENSON,38005,38.4
2017,BENSON,38005,33.1
2018,BENSON,38005,29.4
1983,BOTTINEAU,38009,17.3
1984,BOTTINEAU,38009,9
1988,BOTTINEAU,38009,9
1989,BOTTINEAU,38009,12
1990,BOTTINEAU,38009,12
1991,BOTTINEAU,38009,19.6
1992,BOTTINEAU,38009,12
1994,BOTTINEAU,38009,12
1997,BOTTINEAU,38009,11.6
1998,BOTTINEAU,38009,24.4
1999,BOTTINEAU,38009,32.4
2000,BOTTINEAU,38009,24.8
2001,BOTTINEAU,38009,23.1
2002,BOTTINEAU,38009,20.3
2003,BOTTINEAU,38009,17.4
2004,BOTTINEAU,38009,12
2005,BOTTINEAU,38009,26.9
2006,BOTTINEAU,38009,21.1
2007,BOTTINEAU,38009,26.2
2008,BOTTINEAU,38009,21
2009,BOTTINEAU,38009,26
2010,BOTTINEAU,38009,33.7
2011,BOTTINEAU,38009,28
2012,BOTTINEAU,38009,27.7
2014,BOTTINEAU,38009,32.4
2015,BOTTINEAU,38009,31.6
2016,BOTTINEAU,38009,40.3
2017,BOTTINEAU,38009,32.7
2018,BOTTINEAU,38009,24
2019,BOTTINEAU,38009,30.8
1990,BOWMAN,38011,16
1988,BURKE,38013,5
1989,BURKE,38013,7
1990,BURKE,38013,13
2001,BURKE,38013,20
2002,BURKE,38013,22.5
2018,BURKE,38013,23.4
2019,BURKE,38013,29.8
1988,BURLEIGH,38015,10.7
1989,BURLEIGH,38015,14
1990,BURLEIGH,38015,10
1992,BURLEIGH,38015,15
1995,BURLEIGH,38015,17
1997,BURLEIGH,38015,25
1998,BURLEIGH,38015,30.8
1999,BURLEIGH,38015,27.5
2000,BURLEIGH,38015,23.4
2001,BURLEIGH,38015,34.4
2002,BURLEIGH,38015,18
2003,BURLEIGH,38015,12.7
2004,BURLEIGH,38015,19.1
2005,BURLEIGH,38015,30
2006,BURLEIGH,38015,16.7
2007,BURLEIGH,38015,29.7
2010,BURLEIGH,38015,27
2011,BURLEIGH,38015,29
2012,BURLEIGH,38015,29.1
2017,BURLEIGH,38015,33.3
2018,BURLEIGH,38015,29.7
1959,CASS,38017,14.2
1960,CASS,38017,14
1961,CASS,38017,15.5
1962,CASS,38017,15
1963,CASS,38017,20.5
1964,CASS,38017,15
1965,CASS,38017,19.5
1966,CASS,38017,25.2
1967,CASS,38017,12.5
1968,CASS,38017,16.3
1969,CASS,38017,19.1
1970,CASS,38017,15.5
1971,CASS,38017,15.4
1972,CASS,38017,19.5
1973,CASS,38017,25
1974,CASS,38017,16.1
1975,CASS,38017,18.5
1976,CASS,38017,13.4
1977,CASS,38017,20
1978,CASS,38017,30.3
1979,CASS,38017,29.5
1980,CASS,38017,19.8
1981,CASS,38017,29.8
1982,CASS,38017,22.9
1983,CASS,38017,30
1984,CASS,38017,22.2
1985,CASS,38017,28.3
1986,CASS,38017,38
1987,CASS,38017,34.5
1988,CASS,38017,14.5
1989,CASS,38017,19.5
1990,CASS,38017,28
1991,CASS,38017,31.7
1992,CASS,38017,26.9
1993,CASS,38017,17.5
1994,CASS,38017,30.6
1995,CASS,38017,28.7
1996,CASS,38017,30.9
1997,CASS,38017,31.4
1998,CASS,38017,34.2
1999,CASS,38017,36.8
2000,CASS,38017,33.3
2001,CASS,38017,34.9
2002,CASS,38017,35.6
2003,CASS,38017,30.5
2004,CASS,38017,24.9
2005,CASS,38017,38.4
2006,CASS,38017,35.8
2007,CASS,38017,33.2
2008,CASS,38017,32.5
2009,CASS,38017,32
2010,CASS,38017,35.5
2011,CASS,38017,27
2012,CASS,38017,34
2013,CASS,38017,32.5
2014,CASS,38017,38
2015,CASS,38017,39.7
2016,CASS,38017,45.4
2017,CASS,38017,37.6
2018,CASS,38017,43.2
2019,CASS,38017,35.4
1959,CAVALIER,38019,10
1962,CAVALIER,38019,12
1963,CAVALIER,38019,14
1968,CAVALIER,38019,12
1969,CAVALIER,38019,16
1980,CAVALIER,38019,15
1983,CAVALIER,38019,15
1984,CAVALIER,38019,13
1985,CAVALIER,38019,8
1988,CAVALIER,38019,12
1989,CAVALIER,38019,10
1990,CAVALIER,38019,10
1991,CAVALIER,38019,15
1992,CAVALIER,38019,14
1994,CAVALIER,38019,25
1996,CAVALIER,38019,26.3
1997,CAVALIER,38019,18.9
1998,CAVALIER,38019,20.3
1999,CAVALIER,38019,24.3
2000,CAVALIER,38019,27.3
2001,CAVALIER,38019,28.4
2002,CAVALIER,38019,26.1
2003,CAVALIER,38019,24.4
2004,CAVALIER,38019,10
2005,CAVALIER,38019,26
2006,CAVALIER,38019,28.2
2007,CAVALIER,38019,35.8
2008,CAVALIER,38019,25
2009,CAVALIER,38019,23.5
2010,CAVALIER,38019,29.9
2011,CAVALIER,38019,26.4
2012,CAVALIER,38019,32.4
2013,CAVALIER,38019,27.8
2014,CAVALIER,38019,27.6
2015,CAVALIER,38019,26.6
2016,CAVALIER,38019,37.7
2017,CAVALIER,38019,31.8
2018,CAVALIER,38019,31.8
2019,CAVALIER,38019,26.5
1959,DICKEY,38021,6
1960,DICKEY,38021,9
1961,DICKEY,38021,13
1962,DICKEY,38021,10
1963,DICKEY,38021,11.5
1964,DICKEY,38021,14
1965,DICKEY,38021,17
1966,DICKEY,38021,20
1967,DICKEY,38021,12.5
1968,DICKEY,38021,11.5
1970,DICKEY,38021,12
1971,DICKEY,38021,11
1972,DICKEY,38021,20
1973,DICKEY,38021,8
1977,DICKEY,38021,10.6
1978,DICKEY,38021,28
1979,DICKEY,38021,26.1
1980,DICKEY,38021,14.8
1982,DICKEY,38021,14
1983,DICKEY,38021,20
1984,DICKEY,38021,15
1985,DICKEY,38021,16
1986,DICKEY,38021,29.6
1987,DICKEY,38021,28
1988,DICKEY,38021,13
1989,DICKEY,38021,23
1990,DICKEY,38021,22
1991,DICKEY,38021,19.9
1992,DICKEY,38021,21
1993,DICKEY,38021,17.5
1994,DICKEY,38021,29.2
1995,DICKEY,38021,30.1
1996,DICKEY,38021,25.7
1997,DICKEY,38021,28.1
1998,DICKEY,38021,34.5
1999,DICKEY,38021,35.1
2000,DICKEY,38021,30.4
2001,DICKEY,38021,35.3
2002,DICKEY,38021,34.2
2003,DICKEY,38021,27.9
2004,DICKEY,38021,28.7
2005,DICKEY,38021,41.9
2006,DICKEY,38021,35.2
2007,DICKEY,38021,37.7
2008,DICKEY,38021,32
2009,DICKEY,38021,36.5
2010,DICKEY,38021,34.5
2011,DICKEY,38021,30.3
2012,DICKEY,38021,34.2
2013,DICKEY,38021,29.5
2014,DICKEY,38021,38.5
2015,DICKEY,38021,33.5
2016,DICKEY,38021,46
2017,DICKEY,38021,40.4
2018,DICKEY,38021,43.3
2019,DICKEY,38021,35.5
1992,DIVIDE,38023,8
2014,DIVIDE,38023,24.1
1981,EDDY,38027,18
1982,EDDY,38027,13
1983,EDDY,38027,16
1984,EDDY,38027,11
1986,EDDY,38027,21
1987,EDDY,38027,25
1988,EDDY,38027,12
1989,EDDY,38027,11
1990,EDDY,38027,11.5
1991,EDDY,38027,17.8
1992,EDDY,38027,13
1993,EDDY,38027,9.3
1994,EDDY,38027,20.2
1995,EDDY,38027,27.8
1997,EDDY,38027,14.1
1998,EDDY,38027,19
2000,EDDY,38027,32.8
2001,EDDY,38027,33
2002,EDDY,38027,28.4
2003,EDDY,38027,33
2004,EDDY,38027,17.3
2005,EDDY,38027,34.8
2006,EDDY,38027,21.7
2007,EDDY,38027,34.7
2008,EDDY,38027,24.5
2009,EDDY,38027,32
2010,EDDY,38027,34.2
2011,EDDY,38027,28.6
2012,EDDY,38027,36.5
2013,EDDY,38027,27.1
2014,EDDY,38027,35.8
2015,EDDY,38027,25.9
2017,EDDY,38027,34.3
2018,EDDY,38027,25.1
2019,EDDY,38027,32.8
1988,EMMONS,38029,14
1989,EMMONS,38029,18
1990,EMMONS,38029,20
1991,EMMONS,38029,19.5
1992,EMMONS,38029,18
1993,EMMONS,38029,14.8
1994,EMMONS,38029,25.3
1995,EMMONS,38029,16
1997,EMMONS,38029,26.2
1998,EMMONS,38029,26.5
1999,EMMONS,38029,25.3
2000,EMMONS,38029,25.7
2001,EMMONS,38029,32.5
2002,EMMONS,38029,18
2003,EMMONS,38029,15.1
2004,EMMONS,38029,16.1
2005,EMMONS,38029,28.2
2006,EMMONS,38029,18.7
2007,EMMONS,38029,34.4
2008,EMMONS,38029,21.5
2010,EMMONS,38029,31.2
2011,EMMONS,38029,33.9
2012,EMMONS,38029,35.9
2013,EMMONS,38029,28.9
2014,EMMONS,38029,33.5
2015,EMMONS,38029,34.6
2016,EMMONS,38029,44.7
2017,EMMONS,38029,37.2
2018,EMMONS,38029,29.9
2019,EMMONS,38029,35.1
1981,FOSTER,38031,19
1982,FOSTER,38031,14
1983,FOSTER,38031,16
1984,FOSTER,38031,13.6
1985,FOSTER,38031,20
1986,FOSTER,38031,28
1988,FOSTER,38031,17
1989,FOSTER,38031,20
1990,FOSTER,38031,12
1991,FOSTER,38031,23.5
1992,FOSTER,38031,12
1993,FOSTER,38031,11.4
1994,FOSTER,38031,22.4
1995,FOSTER,38031,26.6
1996,FOSTER,38031,23.4
1997,FOSTER,38031,23
1998,FOSTER,38031,20.5
1999,FOSTER,38031,25.1
2000,FOSTER,38031,32.3
2001,FOSTER,38031,34.5
2002,FOSTER,38031,27.7
2003,FOSTER,38031,33.2
2004,FOSTER,38031,19.9
2005,FOSTER,38031,32.8
2006,FOSTER,38031,24.8
2007,FOSTER,38031,38.6
2008,FOSTER,38031,24.5
2009,FOSTER,38031,28.5
2010,FOSTER,38031,33.3
2011,FOSTER,38031,25.5
2012,FOSTER,38031,37.1
2015,FOSTER,38031,29.7
2016,FOSTER,38031,39.2
2017,FOSTER,38031,31.3
2019,FOSTER,38031,34
1990,GOLDEN VALLEY,38033,17
1959,GRAND FORKS,38035,12.9
1960,GRAND FORKS,38035,13
1961,GRAND FORKS,38035,9
1962,GRAND FORKS,38035,13.5
1963,GRAND FORKS,38035,15
1964,GRAND FORKS,38035,9
1965,GRAND FORKS,38035,15.5
1966,GRAND FORKS,38035,19
1967,GRAND FORKS,38035,11
1968,GRAND FORKS,38035,12
1969,GRAND FORKS,38035,14.5
1970,GRAND FORKS,38035,14.3
1971,GRAND FORKS,38035,12
1974,GRAND FORKS,38035,13.5
1977,GRAND FORKS,38035,13.4
1978,GRAND FORKS,38035,23.8
1979,GRAND FORKS,38035,23.2
1980,GRAND FORKS,38035,11.9
1981,GRAND FORKS,38035,24
1982,GRAND FORKS,38035,17.4
1983,GRAND FORKS,38035,24
1984,GRAND FORKS,38035,23.4
1985,GRAND FORKS,38035,17
1986,GRAND FORKS,38035,31.5
1987,GRAND FORKS,38035,28.8
1988,GRAND FORKS,38035,22
1989,GRAND FORKS,38035,13.7
1990,GRAND FORKS,38035,19.5
1991,GRAND FORKS,38035,31.2
1992,GRAND FORKS,38035,21.6
1993,GRAND FORKS,38035,18.1
1994,GRAND FORKS,38035,30.3
1995,GRAND FORKS,38035,27.8
1996,GRAND FORKS,38035,25
1997,GRAND FORKS,38035,25.3
1998,GRAND FORKS,38035,28.6
1999,GRAND FORKS,38035,28.2
2000,GRAND FORKS,38035,27.4
2001,GRAND FORKS,38035,32
2002,GRAND FORKS,38035,31
2003,GRAND FORKS,38035,29.8
2004,GRAND FORKS,38035,16.5
2005,GRAND FORKS,38035,30.8
2006,GRAND FORKS,38035,28.1
2007,GRAND FORKS,38035,37.4
2008,GRAND FORKS,38035,26
2009,GRAND FORKS,38035,29
2010,GRAND FORKS,38035,32.9
2011,GRAND FORKS,38035,28.1
2012,GRAND FORKS,38035,37.2
2013,GRAND FORKS,38035,34.3
2014,GRAND FORKS,38035,33.1
2015,GRAND FORKS,38035,33.6
2016,GRAND FORKS,38035,40.2
2017,GRAND FORKS,38035,35.5
2018,GRAND FORKS,38035,34.9
2019,GRAND FORKS,38035,33.5
1994,GRANT,38037,12
1999,GRANT,38037,20
2000,GRANT,38037,24
2001,GRANT,38037,16
2010,GRANT,38037,28.1
2011,GRANT,38037,26.7
2019,GRANT,38037,26.9
1969,GRIGGS,38039,11
1970,GRIGGS,38039,11
1971,GRIGGS,38039,12
1977,GRIGGS,38039,20
1978,GRIGGS,38039,17.7
1979,GRIGGS,38039,24.3
1980,GRIGGS,38039,18
1981,GRIGGS,38039,23
1982,GRIGGS,38039,13
1983,GRIGGS,38039,25
1984,GRIGGS,38039,15
1985,GRIGGS,38039,12
1986,GRIGGS,38039,29.5
1987,GRIGGS,38039,27
1988,GRIGGS,38039,16
1989,GRIGGS,38039,12
1990,GRIGGS,38039,18
1991,GRIGGS,38039,24.2
1992,GRIGGS,38039,14.6
1993,GRIGGS,38039,10.1
1994,GRIGGS,38039,21.1
1995,GRIGGS,38039,25
1996,GRIGGS,38039,24.1
1997,GRIGGS,38039,22.5
1998,GRIGGS,38039,26.5
1999,GRIGGS,38039,31.5
2000,GRIGGS,38039,29.6
2001,GRIGGS,38039,34.4
2002,GRIGGS,38039,31.6
2003,GRIGGS,38039,32.4
2004,GRIGGS,38039,20.2
2005,GRIGGS,38039,35.2
2006,GRIGGS,38039,29.9
2007,GRIGGS,38039,38.2
2008,GRIGGS,38039,24
2009,GRIGGS,38039,29
2010,GRIGGS,38039,35.6
2011,GRIGGS,38039,27.2
2012,GRIGGS,38039,33.6
2013,GRIGGS,38039,30.4
2014,GRIGGS,38039,32.7
2015,GRIGGS,38039,34.5
2016,GRIGGS,38039,43.2
2017,GRIGGS,38039,36.7
2018,GRIGGS,38039,38.5
2019,GRIGGS,38039,33.6
1983,HETTINGER,38041,15.4
1994,HETTINGER,38041,11
1995,HETTINGER,38041,20
1996,HETTINGER,38041,24.5
1998,HETTINGER,38041,24.4
2000,HETTINGER,38041,22.6
2017,HETTINGER,38041,13.9
2019,HETTINGER,38041,28.6
1983,KIDDER,38043,16
1984,KIDDER,38043,13.5
1985,KIDDER,38043,15
1988,KIDDER,38043,30
1989,KIDDER,38043,27.5
1990,KIDDER,38043,12
1991,KIDDER,38043,17.3
1995,KIDDER,38043,26.4
1996,KIDDER,38043,26
1997,KIDDER,38043,20.6
1998,KIDDER,38043,26.8
1999,KIDDER,38043,27.9
2000,KIDDER,38043,26.3
2001,KIDDER,38043,24
2002,KIDDER,38043,19.2
2003,KIDDER,38043,28.1
2004,KIDDER,38043,18.4
2005,KIDDER,38043,31.9
2006,KIDDER,38043,20.4
2007,KIDDER,38043,34.8
2010,KIDDER,38043,29.9
2011,KIDDER,38043,29.3
2013,KIDDER,38043,23.9
2014,KIDDER,38043,34.9
2015,KIDDER,38043,27.2
2017,KIDDER,38043,30.9
2018,KIDDER,38043,34.8
1959,LA MOURE,38045,7
1960,LA MOURE,38045,8.5
1961,LA MOURE,38045,9
1962,LA MOURE,38045,12
1977,LA MOURE,38045,10.5
1978,LA MOURE,38045,14
1979,LA MOURE,38045,33.2
1980,LA MOURE,38045,9.9
1981,LA MOURE,38045,21
1982,LA MOURE,38045,15
1983,LA MOURE,38045,18
1984,LA MOURE,38045,14
1985,LA MOURE,38045,21.5
1986,LA MOURE,38045,27.5
1987,LA MOURE,38045,27
1988,LA MOURE,38045,10
1989,LA MOURE,38045,20
1990,LA MOURE,38045,25
1991,LA MOURE,38045,29.2
1992,LA MOURE,38045,20
1993,LA MOURE,38045,21.1
1994,LA MOURE,38045,33.7
1995,LA MOURE,38045,33.1
1996,LA MOURE,38045,31.4
1997,LA MOURE,38045,29.7
1998,LA MOURE,38045,35.1
1999,LA MOURE,38045,37.9
2000,LA MOURE,38045,33.5
2001,LA MOURE,38045,35.1
2002,LA MOURE,38045,33.6
2003,LA MOURE,38045,30.5
2004,LA MOURE,38045,29.2
2005,LA MOURE,38045,40.7
2006,LA MOURE,38045,37.1
2007,LA MOURE,38045,37.7
2008,LA MOURE,38045,26.5
2009,LA MOURE,38045,33.5
2010,LA MOURE,38045,34.1
2011,LA MOURE,38045,35.4
2012,LA MOURE,38045,32.5
2013,LA MOURE,38045,25.9
2014,LA MOURE,38045,41.4
2015,LA MOURE,38045,34.3
2016,LA MOURE,38045,48
2017,LA MOURE,38045,34.8
2018,LA MOURE,38045,46.8
2019,LA MOURE,38045,35.2
1969,LOGAN,38047,15
1984,LOGAN,38047,11
1988,LOGAN,38047,4
1989,LOGAN,38047,21
1990,LOGAN,38047,25
1997,LOGAN,38047,18.2
1998,LOGAN,38047,29
1999,LOGAN,38047,26.4
2000,LOGAN,38047,24.2
2001,LOGAN,38047,27
2002,LOGAN,38047,16.7
2003,LOGAN,38047,16.7
2004,LOGAN,38047,16.5
2005,LOGAN,38047,37.6
2006,LOGAN,38047,24.1
2007,LOGAN,38047,34.2
2008,LOGAN,38047,21.5
2009,LOGAN,38047,26
2010,LOGAN,38047,27.5
2011,LOGAN,38047,30.7
2013,LOGAN,38047,17.3
2016,LOGAN,38047,36
2017,LOGAN,38047,28
2001,MCHENRY,38049,27.5
2002,MCHENRY,38049,30
2003,MCHENRY,38049,25.5
2004,MCHENRY,38049,16.1
2005,MCHENRY,38049,33.2
2006,MCHENRY,38049,22.9
2007,MCHENRY,38049,25.5
2008,MCHENRY,38049,24
2009,MCHENRY,38049,25
2010,MCHENRY,38049,32.2
2011,MCHENRY,38049,27.6
2012,MCHENRY,38049,26.9
2014,MCHENRY,38049,37.1
2015,MCHENRY,38049,28.6
2016,MCHENRY,38049,37.8
2017,MCHENRY,38049,26.6
2018,MCHENRY,38049,24.2
2019,MCHENRY,38049,30.9
1969,MCINTOSH,38051,16
1982,MCINTOSH,38051,13
1993,MCINTOSH,38051,17
1994,MCINTOSH,38051,31
1995,MCINTOSH,38051,25
1996,MCINTOSH,38051,28.9
1997,MCINTOSH,38051,18.6
1998,MCINTOSH,38051,22
1999,MCINTOSH,38051,25.2
2000,MCINTOSH,38051,31.1
2001,MCINTOSH,38051,28.5
2002,MCINTOSH,38051,21.3
2003,MCINTOSH,38051,13.8
2004,MCINTOSH,38051,21.5
2005,MCINTOSH,38051,37.1
2006,MCINTOSH,38051,24.9
2007,MCINTOSH,38051,32.8
2008,MCINTOSH,38051,22.5
2009,MCINTOSH,38051,30.5
2010,MCINTOSH,38051,28.6
2011,MCINTOSH,38051,29.9
2016,MCINTOSH,38051,37
2017,MCINTOSH,38051,30.9
2013,MCKENZIE,38053,28.9
2017,MCKENZIE,38053,34.6
2018,MCKENZIE,38053,20.5
2019,MCKENZIE,38053,38.5
1991,MCLEAN,38055,18
1992,MCLEAN,38055,7
1994,MCLEAN,38055,10
1995,MCLEAN,38055,20
1997,MCLEAN,38055,13.5
1998,MCLEAN,38055,27
1999,MCLEAN,38055,21.7
2000,MCLEAN,38055,23.6
2001,MCLEAN,38055,18
2002,MCLEAN,38055,27.7
2003,MCLEAN,38055,21.9
2004,MCLEAN,38055,15.1
2013,MCLEAN,38055,38.8
2014,MCLEAN,38055,35.9
2016,MCLEAN,38055,37.2
2018,MCLEAN,38055,25.5
2019,MCLEAN,38055,34.4
